contrast,correlation,energy,homogeneity,mean,standard_deviation,entropy,rms,variance,smoothness,kurtosis,skewness,idm,label
0.0401,0.8192,0.7397,0.9799,0.0033,0.0898,2.2966,0.0898,0.0081,0.9255,9.3438,0.8665,0.1500,BENIGN
0.0312,0.7489,0.8457,0.9844,0.0030,0.0898,2.0380,0.0898,0.0081,0.9182,18.5030,1.4748,1.1751,BENIGN
0.0547,0.7605,0.7201,0.9727,0.0029,0.0898,2.7317,0.0898,0.0081,0.9160,6.9099,0.4599,-0.3543,BENIGN
0.0276,0.8605,0.7756,0.9862,0.0013,0.0898,3.1063,0.0898,0.0080,0.8273,8.7719,0.7300,-1.2101,BENIGN
0.0303,0.7296,0.8588,0.9849,0.0049,0.0897,2.7155,0.0898,0.0080,0.9479,11.0800,1.0323,-0.5364,BENIGN
0.0741,0.7900,0.5784,0.9629,0.0012,0.0898,2.6727,0.0898,0.0080,0.8115,7.8013,0.5809,0.6972,BENIGN
0.0333,0.7750,0.8200,0.9834,0.0023,0.0898,3.2341,0.0898,0.0080,0.8936,6.9787,0.6898,0.9689,BENIGN
0.0276,0.8605,0.7756,0.9862,0.0013,0.0898,3.1063,0.0898,0.0080,0.8273,8.7719,0.7300,-1.2101,BENIGN
0.0524,0.7749,0.7175,0.9738,0.0019,0.0898,2.9814,0.0898,0.0081,0.8776,7.5606,0.5808,1.0628,BENIGN
0.0283,0.8496,0.7841,0.9858,0.0047,0.0897,2.9656,0.0898,0.0081,0.9461,8.5207,0.8330,0.1628,BENIGN
0.0246,0.8070,0.8487,0.9877,0.0029,0.0898,2.7349,0.0898,0.0081,0.9142,10.3423,0.9065,0.8186,BENIGN
0.0138,0.8324,0.9039,0.9931,0.0042,0.0897,1.9953,0.0898,0.0080,0.9395,26.1030,2.4219,-0.1751,BENIGN
0.0196,0.7383,0.9057,0.9902,0.0059,0.0896,2.5246,0.0898,0.0080,0.9568,10.5263,0.9377,0.5549,BENIGN
0.0848,0.6132,0.7031,0.9576,0.0024,0.0898,3.3353,0.0898,0.0081,0.8999,6.7107,0.5097,1.1379,BENIGN
0.0347,0.8083,0.7854,0.9826,0.0035,0.0897,3.3364,0.0898,0.0080,0.9282,6.7192,0.6948,-0.8435,BENIGN
0.0081,0.9230,0.8862,0.9959,0.0049,0.0897,2.1150,0.0898,0.0081,0.9477,30.4720,2.8907,0.7228,BENIGN
0.0264,0.7787,0.8548,0.9868,0.0040,0.0897,2.5306,0.0898,0.0081,0.9370,11.6267,1.0159,0.4747,BENIGN
0.0272,0.7496,0.8647,0.9864,0.0048,0.0897,2.5846,0.0898,0.0081,0.9465,10.7269,0.9211,0.8210,BENIGN
0.0698,0.7257,0.6804,0.9651,0.0031,0.0898,2.6560,0.0898,0.0081,0.9196,16.5086,1.4560,0.4101,BENIGN
0.0287,0.8189,0.8138,0.9856,0.0025,0.0898,3.0433,0.0898,0.0081,0.9025,8.4786,0.5945,1.2953,BENIGN
0.0345,0.8353,0.7574,0.9828,0.0041,0.0897,3.1699,0.0898,0.0080,0.9382,7.0776,0.5750,-0.2485,BENIGN
0.0169,0.9183,0.7768,0.9916,0.0051,0.0897,2.9565,0.0898,0.0080,0.9495,12.6688,1.1326,-0.8460,BENIGN
0.0314,0.8049,0.8089,0.9843,0.0017,0.0898,3.0324,0.0898,0.0081,0.8652,8.2680,0.6179,0.6244,BENIGN
0.0161,0.7000,0.9306,0.9920,0.0064,0.0896,2.8978,0.0898,0.0080,0.9595,11.8537,1.0823,2.2251,BENIGN
0.0314,0.8049,0.8089,0.9843,0.0017,0.0898,3.0324,0.0898,0.0081,0.8652,8.2680,0.6179,0.6244,BENIGN
0.0339,0.7885,0.8071,0.9831,0.0023,0.0898,2.8497,0.0898,0.0081,0.8934,8.7811,0.7697,0.2968,BENIGN
0.0370,0.8187,0.7604,0.9815,0.0043,0.0897,2.8474,0.0898,0.0080,0.9416,9.0975,0.8274,0.1014,BENIGN
0.0547,0.7605,0.7201,0.9727,0.0029,0.0898,2.7317,0.0898,0.0081,0.9160,6.9099,0.4599,-0.3543,BENIGN
0.0206,0.6726,0.9171,0.9897,0.0051,0.0897,3.0367,0.0898,0.0081,0.9497,17.4635,1.7007,0.0828,BENIGN
0.0351,0.8046,0.7864,0.9824,0.0034,0.0898,3.2447,0.0898,0.0081,0.9264,7.3394,0.6978,-0.3183,BENIGN
0.0231,0.8262,0.8444,0.9884,0.0043,0.0897,2.8328,0.0898,0.0080,0.9417,9.6373,0.7305,-0.3520,BENIGN
0.0187,0.8451,0.8606,0.9906,0.0030,0.0898,3.1261,0.0898,0.0080,0.9186,10.3494,0.8518,0.9991,BENIGN
0.0346,0.7803,0.8093,0.9827,0.0033,0.0898,3.2950,0.0898,0.0080,0.9247,7.1621,0.6889,-0.3103,BENIGN
0.0512,0.7816,0.7172,0.9744,0.0028,0.0898,3.1840,0.0898,0.0081,0.9134,7.6515,0.6583,0.9101,BENIGN
0.0524,0.7751,0.7175,0.9738,0.0027,0.0898,3.0082,0.0898,0.0080,0.9086,7.6798,0.5823,-0.0585,BENIGN
0.0206,0.8076,0.8731,0.9897,0.0028,0.0898,2.7257,0.0898,0.0081,0.9111,10.6780,0.8122,0.8810,BENIGN
0.0387,0.7976,0.7716,0.9807,0.0041,0.0897,3.0274,0.0898,0.0081,0.9381,9.2540,0.9508,0.8196,BENIGN
0.0187,0.8451,0.8606,0.9906,0.0030,0.0898,3.1261,0.0898,0.0080,0.9186,10.3494,0.8518,0.9991,BENIGN
0.0310,0.7558,0.8430,0.9845,0.0029,0.0898,2.6954,0.0898,0.0081,0.9153,16.0374,1.6140,0.0475,BENIGN
0.0351,0.8046,0.7864,0.9824,0.0034,0.0898,3.2447,0.0898,0.0081,0.9264,7.3394,0.6978,-0.3183,BENIGN
0.0353,0.8036,0.7863,0.9824,0.0032,0.0898,3.2316,0.0898,0.0081,0.9226,8.0998,0.7568,-0.3715,BENIGN
0.0390,0.7980,0.7694,0.9805,0.0024,0.0898,3.0500,0.0898,0.0081,0.8993,8.2284,0.6604,0.5828,BENIGN
0.0314,0.8049,0.8089,0.9843,0.0017,0.0898,3.0324,0.0898,0.0081,0.8652,8.2680,0.6179,0.6244,BENIGN
0.0204,0.7389,0.9019,0.9898,0.0024,0.0898,3.4190,0.0898,0.0080,0.8990,7.3128,0.5890,1.1189,BENIGN
0.0243,0.7429,0.8819,0.9879,0.0032,0.0898,2.9846,0.0898,0.0081,0.9224,8.0215,0.6618,0.7554,BENIGN
0.0215,0.8123,0.8647,0.9893,0.0050,0.0897,2.8138,0.0898,0.0080,0.9486,16.4121,1.5446,0.2548,BENIGN
0.0620,0.7446,0.6990,0.9690,0.0019,0.0898,3.1328,0.0898,0.0080,0.8773,7.1499,0.5738,-1.0318,BENIGN
0.0260,0.8414,0.8109,0.9870,0.0032,0.0898,3.1673,0.0898,0.0080,0.9219,10.4679,1.0627,-0.4316,BENIGN
0.0052,0.8843,0.9496,0.9974,0.0055,0.0896,1.7155,0.0898,0.0081,0.9536,38.6958,3.4814,1.1855,BENIGN
0.0409,0.7877,0.7681,0.9795,0.0027,0.0898,3.2303,0.0898,0.0080,0.9088,7.8153,0.6747,-0.1730,BENIGN
0.0513,0.7582,0.7394,0.9744,0.0032,0.0898,3.3031,0.0898,0.0080,0.9228,8.3860,0.8196,0.1819,BENIGN
0.0516,0.7943,0.7002,0.9742,0.0041,0.0897,3.0058,0.0898,0.0080,0.9390,7.3141,0.6862,0.3238,BENIGN
